,lat,lon,activity
352,-43.590350802987814,172.5686917360872,activity_21767060640.gpx
353,-43.59035113826394,172.56869768723845,activity_21767060640.gpx
354,-43.59034946188331,172.56869735196233,activity_21767060640.gpx
355,-43.590346947312355,172.56869735196233,activity_21767060640.gpx
356,-43.59034770168364,172.56869986653328,activity_21767060640.gpx
357,-43.59035206027329,172.56870212964714,activity_21767060640.gpx
358,-43.59034954570234,172.56870556622744,activity_21767060640.gpx
359,-43.59035122208297,172.56872484460473,activity_21767060640.gpx
360,-43.59035164117813,172.5687483139336,activity_21767060640.gpx
361,-43.59036052599549,172.56877002306283,activity_21767060640.gpx
362,-43.5903653036803,172.56878326646984,activity_21767060640.gpx
363,-43.59036614187062,172.56879366002977,activity_21767060640.gpx
364,-43.590364968404174,172.568794246763,activity_21767060640.gpx
365,-43.59036220237613,172.56879634223878,activity_21767060640.gpx
366,-43.59036144800484,172.56880262866616,activity_21767060640.gpx
367,-43.590363543480635,172.56880631670356,activity_21767060640.gpx
368,-43.59036044217646,172.56879751570523,activity_21767060640.gpx
369,-43.590362034738064,172.5687948334962,activity_21767060640.gpx
370,-43.590361112728715,172.56879433058202,activity_21767060640.gpx
371,-43.59035952016711,172.56879810243845,activity_21767060640.gpx
372,-43.59036622568965,172.5688151177019,activity_21767060640.gpx
373,-43.5903793014586,172.5688307080418,activity_21767060640.gpx
374,-43.590389024466276,172.5688473880291,activity_21767060640.gpx
375,-43.590411907061934,172.5688730366528,activity_21767060640.gpx
376,-43.59042875468731,172.56888980045915,activity_21767060640.gpx
377,-43.590441159904,172.5689110904932,activity_21767060640.gpx
378,-43.59046798199415,172.56892886012793,activity_21767060640.gpx
379,-43.59049069695175,172.5689374934882,activity_21767060640.gpx
380,-43.59050930477679,172.56894554011524,activity_21767060640.gpx
381,-43.590538976714015,172.56894671358168,activity_21767060640.gpx
382,-43.590566385537386,172.56894721649587,activity_21767060640.gpx
383,-43.59058725647628,172.5689496472478,activity_21767060640.gpx
384,-43.59061047434807,172.56895693950355,activity_21767060640.gpx
385,-43.590637212619185,172.5689544249326,activity_21767060640.gpx
386,-43.5906573291868,172.56895358674228,activity_21767060640.gpx
387,-43.59067845158279,172.56895819678903,activity_21767060640.gpx
388,-43.590701166540384,172.56896222010255,activity_21767060640.gpx
389,-43.59072455205023,172.56896347738802,activity_21767060640.gpx
390,-43.590744752436876,172.568968674168,activity_21767060640.gpx
391,-43.590766210108995,172.56897102110088,activity_21767060640.gpx
392,-43.59078532084823,172.5689761340618,activity_21767060640.gpx
393,-43.590804850682616,172.56898225285113,activity_21767060640.gpx
394,-43.59083125367761,172.5689890421927,activity_21767060640.gpx
395,-43.59085631556809,172.5689959153533,activity_21767060640.gpx
396,-43.59087584540248,172.56900614127517,activity_21767060640.gpx
397,-43.59090216457844,172.56902349181473,activity_21767060640.gpx
398,-43.59092420898378,172.56902835331857,activity_21767060640.gpx
399,-43.59094834886491,172.56903656758368,activity_21767060640.gpx
400,-43.590975841507316,172.56903648376465,activity_21767060640.gpx
401,-43.59099914319813,172.56903572939336,activity_21767060640.gpx
402,-43.591028647497296,172.56902852095664,activity_21767060640.gpx
403,-43.59105530194938,172.5690165348351,activity_21767060640.gpx
404,-43.591074580326676,172.56902466528118,activity_21767060640.gpx
405,-43.59110198915005,172.56902910768986,activity_21767060640.gpx
406,-43.5911267157644,172.5690305326134,activity_21767060640.gpx
407,-43.59114691615105,172.56903648376465,activity_21767060640.gpx
408,-43.59117751009762,172.56903748959303,activity_21767060640.gpx
409,-43.591200644150376,172.56903966888785,activity_21767060640.gpx
410,-43.59122143127024,172.5690488051623,activity_21767060640.gpx
411,-43.59125001356006,172.56904888898134,activity_21767060640.gpx
412,-43.59127323143184,172.56904603913426,activity_21767060640.gpx
413,-43.5912942700088,172.56905148737133,activity_21767060640.gpx
414,-43.591322684660554,172.56905366666615,activity_21767060640.gpx
415,-43.59134355559945,172.56905391812325,activity_21767060640.gpx
416,-43.59136308543384,172.56906238384545,activity_21767060640.gpx
417,-43.59139384701848,172.56906389258802,activity_21767060640.gpx
418,-43.59141522087157,172.56906372494996,activity_21767060640.gpx
419,-43.5914361756295,172.5690683349967,activity_21767060640.gpx
420,-43.59146651811898,172.56906867027283,activity_21767060640.gpx
421,-43.59149074181914,172.56906531751156,activity_21767060640.gpx
